"";"NU_IDADE_REFERENCIA";"CO_MUNICIPIO_END";"CO_UF_END";"CO_MUNICIPIO_END";"TP_DEPENDENCIA";"TP_ETAPA_ENSINO";"CO_REGIAO";"CO_MESORREGIAO";"CO_UF";"CO_MUNICIPIO";"CO_DISTRITO"
"1";6;1301902;13;1301902;3;14;1;1303;13;1301902;130190205
"2";6;1301902;13;1301902;3;2;1;1303;13;1301902;130190205
"3";18;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"4";13;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"5";16;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"6";26;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"7";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"8";16;1301902;13;1301902;2;26;1;1303;13;1301902;130190205
"9";6;1301902;13;1301902;2;14;1;1303;13;1301902;130190205
"10";9;1301902;13;1301902;2;17;1;1303;13;1301902;130190205
"11";7;1301902;13;1301902;2;15;1;1303;13;1301902;130190205
"12";11;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"13";14;1301902;13;1301902;2;21;1;1303;13;1301902;130190205
"14";11;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"15";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"16";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"17";11;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"18";10;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"19";18;1301902;13;1301902;2;27;1;1303;13;1301902;130190205
"20";12;1301902;13;1301902;2;20;1;1303;13;1301902;130190205
"21";17;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"22";14;1301902;13;1301902;2;25;1;1303;13;1301902;130190205
"23";12;1301902;13;1301902;2;19;1;1303;13;1301902;130190205
"24";19;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"25";46;1301902;13;1301902;2;71;1;1303;13;1301902;130190205
"26";13;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"27";8;1301902;13;1301902;4;16;1;1303;13;1301902;130190205
"28";10;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"29";12;1301902;13;1301902;3;19;1;1303;13;1301902;130190205
"30";14;1301902;13;1301902;4;41;1;1303;13;1301902;130190205
"31";9;1301902;13;1301902;3;17;1;1303;13;1301902;130190205
"32";9;1301902;13;1301902;3;16;1;1303;13;1301902;130190205
"33";7;1301902;13;1301902;3;15;1;1303;13;1301902;130190205
"34";10;1301902;13;1301902;3;18;1;1303;13;1301902;130190205
"35";5;1301902;13;1301902;4;2;1;1303;13;1301902;130190205
"36";14;1301902;13;1301902;3;21;1;1303;13;1301902;130190205
"37";7;1301902;13;1301902;3;15;1;1303;13;1301902;130190205
